subject,title,description,session_date,duration,group_size,creator_fk,location
ARCH260,"Problem Solving Session","This session will help you stay on top of the course content.","2024-05-07 10:10:00",90,1,9,QNC1179
PSCI250,"Problem Solving Session","Join us for a comprehensive review of the course material.","2024-07-12 07:15:00",90,10,27,AL1888
MATH215,"Course Overview","Get help with your homework and assignments in this session.","2024-06-15 18:55:00",60,9,21,SLC3657
OPTOM248,"Lab Review","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-30 08:25:00",45,3,24,HH3667
GBDA304,"Lab Review","Join your peers for a group study session.","2024-06-06 23:10:00",30,4,172,HH3865
THPERF300,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-06-12 00:20:00",15,4,101,E32233
AE224,"Final Exam Study Session","Get help with your homework and assignments in this session.","2024-06-04 07:55:00",90,5,49,EIT3104
COMMST225,"Exam Preparation","Join your peers for a group study session.","2024-07-14 01:45:00",30,9,8,EV22291
NE380L,"Review Session","This study session will help reinforce your understanding of the lectures.","2024-06-07 05:10:00",60,5,143,STC4462
MATH239,"Exam Preparation","This session will help you stay on top of the course content.","2024-07-25 00:45:00",15,9,8,EV33352
RS361,"Problem Solving Session","Prepare for the midterm/final with this detailed review session.","2024-06-13 02:25:00",15,10,164,RCH4290
EASIA203R,"Group Study","We'll work through lab exercises and discuss key points.","2024-07-25 00:55:00",45,2,126,MC3201
LAT491,"Lecture Recap","This session will help you stay on top of the course content.","2024-06-14 13:50:00",30,1,126,STC1435
EARTH440,"Problem Solving Session","Improve your problem-solving skills with this focused session.","2024-07-20 01:15:00",60,5,141,OPT2235
AVIA417,"Homework Help","Improve your problem-solving skills with this focused session.","2024-05-06 13:05:00",30,4,169,EIT4019
BUS398W,"Review Session","Prepare for the midterm/final with this detailed review session.","2024-06-26 03:15:00",120,6,89,E21827
ENVS274,"Midterm Review","Join us for a comprehensive review of the course material.","2024-08-08 21:15:00",30,3,54,E61760
HIST348,"Homework Help","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-22 13:45:00",60,9,122,E12741
SCI238,"Lecture Recap","This session will help you stay on top of the course content.","2024-06-07 14:35:00",120,2,167,PAS3970
JS209,"Final Exam Study Session","This session will help you stay on top of the course content.","2024-06-21 11:05:00",30,5,79,QNC3058
PSYCH462,"Final Exam Study Session","We'll go over important topics and answer any questions you may have.","2024-05-03 15:50:00",60,6,50,E61273
CHE211,"Review Session","Prepare for the midterm/final with this detailed review session.","2024-05-19 05:05:00",90,4,130,E62001
BIOL331,"Review Session","Improve your problem-solving skills with this focused session.","2024-06-16 08:40:00",30,7,199,ML2055
PHARM467,"Lecture Recap","Join your peers for a group study session.","2024-06-13 13:40:00",120,6,138,PAS1466
EASIA277R,"Final Exam Study Session","Improve your problem-solving skills with this focused session.","2024-07-03 05:45:00",120,8,174,SLC2326
MATH218,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-06-23 07:45:00",90,9,58,E63020
BUS462W,"Group Study","Join your peers for a group study session.","2024-05-24 23:20:00",30,7,161,STC1768
NE453,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-05-18 13:00:00",30,9,98,ML3642
KIN427,"Final Exam Study Session","We'll work through lab exercises and discuss key points.","2024-06-15 20:45:00",15,5,140,SLC2793
RS358,"Lab Review","This study session will help reinforce your understanding of the lectures.","2024-06-24 11:55:00",45,1,169,DC1511
KIN433,"Course Overview","Join your peers for a group study session.","2024-07-19 04:30:00",120,3,140,DC3586
CO485,"Lecture Recap","Join us for a comprehensive review of the course material.","2024-08-11 16:10:00",30,3,184,AL1543
AMATH251,"Homework Help","This study session will help reinforce your understanding of the lectures.","2024-07-16 03:15:00",120,2,80,SLC1743
ARTS290,"Exam Preparation","We'll work through lab exercises and discuss key points.","2024-07-09 05:15:00",120,1,86,BMH3525
