id,subject,title,description,session_date,duration,group_size,creator_fk,location
1,Mathematics,"MATH 239: Combinatorics","An introduction to combinatorial mathematics including topics in graph theory and enumeration.","2024-09-04 08:30:00",90,30,103,"University of Waterloo, MC 2054"
2,"Computer Science","CS 240: Data Structures","Fundamental data structures and algorithms for data management with emphasis on memory management and binary data structures.","2024-09-05 13:00:00",90,50,103,"University of Waterloo, DC 1350"
147,"HRM 424","Writing Workshop","Hands-on practical session","2024-07-14 14:50:00",60,10,103,"SLC 2034"
148,"SOC 302","Skill Development Workshop","Practical demonstrations of key concepts","2024-07-23 03:25:00",90,2,103,"CPH 2478"
149,"ARTS 348","Subject Review","Group study session to prepare for quizzes","2024-07-21 16:25:00",120,5,102,"RCH 2614"
150,"SPAN 390","Practical Demonstration","In-depth review of subject material","2024-07-28 22:20:00",120,5,102,"EV3 1398"
151,"CIVE 246","Seminar Follow-Up","Preparation for upcoming tests","2024-07-20 01:10:00",90,5,102,"E5 4447"
152,"PSCI 388","Focused Review Session","Consultation on thesis structure and content","2024-07-08 17:25:00",120,7,103,"MC 3557"
153,"BME 230","Interactive Study Group","Group study session to prepare for quizzes","2024-07-08 06:05:00",90,4,103,"PAS 1398"
154,"GEOG 190","Writing Workshop","Exploring new topics in-depth","2024-07-22 21:25:00",90,8,102,"BMH 1243"
155,"KIN 177","Interactive Quiz","Collaborating on project ideas","2024-07-18 11:35:00",30,2,103,"EV3 4221"
156,"LS 271","Peer Review Session","Group study session to prepare for quizzes","2024-07-12 05:30:00",90,6,102,"STC 3351"
157,"PHARM 339","Case Study Discussion","Preparation for upcoming tests","2024-07-23 09:15:00",60,5,102,"MC 2283"
158,"HRM 303","Presentation Practice","Planning and organizing study schedules","2024-08-01 18:10:00",30,5,102,"HH 2800"
159,"SYDE 324","Reading Group","Open group discussion on course material","2024-08-12 00:15:00",120,5,102,"MC 3728"
160,"HRM 256","Study Group Session","Providing academic support and guidance","2024-07-10 13:10:00",90,4,102,"CPH 4294"
161,"SPAN 387","Problem-Solving Session","Open forum for discussing ideas","2024-07-21 13:45:00",90,10,102,"SLC 4494"
162,"BME 342","Career Advice Session","Interactive workshop on a key topic","2024-07-15 20:50:00",30,4,103,"E3 3920"
163,"MUSIC 150","Presentation Practice","Focused review session for important topics","2024-07-08 12:20:00",60,10,102,"BMH 2696"
164,"ARTS 264","Concept Clarification Session","Collaborating on project ideas","2024-08-13 07:45:00",30,6,103,"AL 3468"
165,"NE 288","Quiz Practice Session","Workshop on academic writing skills","2024-07-23 21:15:00",90,2,102,"E7 2101"
166,"CS 152","Collaborative Study","Workshop on academic writing skills","2024-07-04 21:25:00",30,5,103,"HH 2927"
167,"MUSIC 262","Knowledge Enhancement","Deep dive into specific topics","2024-07-23 22:25:00",60,2,103,"STC 2635"
168,"MUSIC 158","Assignment Help","Review and feedback on assignments","2024-08-15 23:20:00",60,4,102,"EV2 3058"
169,"HRM 174","Subject Review","Solving practice problems together","2024-07-22 07:40:00",60,2,103,"E6 2633"
170,"SPAN 435","Finals Preparation","Career guidance and advice","2024-08-12 09:30:00",30,10,103,"EV3 3711"
171,"ME 396","Interactive Study Group","Review and feedback on assignments","2024-08-05 01:25:00",60,9,103,"EV1 4097"
172,"SUSM 111","Writing Workshop","Workshop on academic writing skills","2024-07-05 21:35:00",90,9,103,"E5 2482"
173,"BME 352","Concept Discussion","Workshop on effective study skills","2024-07-30 03:15:00",30,3,102,"STC 4126"
174,"CS 298","Academic Support","Providing academic support and guidance","2024-08-12 08:30:00",30,9,102,"E1 3159"
175,"HRM 404","Test Preparation","Open forum for discussing ideas","2024-08-07 04:05:00",30,9,102,"STC 2211"
176,"SUSM 196","Content Recap","Enhancing knowledge through group discussion","2024-08-06 17:15:00",60,5,102,"PAS 2827"
177,"ECE 351","Knowledge Sharing","Interactive quiz to test knowledge","2024-07-08 12:35:00",120,6,102,"EIT 3663"
178,"SE 269","Thesis Consultation","Focused review session for important topics","2024-07-12 22:50:00",30,3,103,"QNC 1474"
179,"CIVE 427","Mock Exam Session","Focused review session for important topics","2024-07-28 22:10:00",60,6,102,"EIT 2370"
180,"BIOL 427","Focused Study","Preparation for upcoming tests","2024-07-22 04:00:00",120,2,103,"OPT 4188"
181,"SYDE 320","Lab Report Assistance","Planning and organizing study schedules","2024-08-14 20:30:00",30,6,103,"AL 3246"
182,"REC 370","Discussion Forum","Overview of important topics","2024-07-29 10:05:00",60,7,102,"E7 2330"
183,"ARTS 400","Problem-Solving Session","Interactive learning activities","2024-08-13 23:40:00",120,2,102,"STC 2599"
184,"BIOL 368","Reading Session","Providing academic support and guidance","2024-07-17 23:50:00",120,9,102,"QNC 2403"
185,"BIOL 272","Review Meeting","Recap of course content","2024-08-02 13:10:00",120,8,102,"AL 1645"
186,"GS 116","Quiz Preparation","Effective strategies for final exams","2024-08-09 19:30:00",120,10,103,"QNC 1794"
187,"SYDE 269","Case Study Discussion","Exploring new topics in-depth","2024-07-15 02:55:00",120,4,103,"OPT 1337"
188,"SE 367","Career Development Session","Review and feedback on assignments","2024-08-08 14:25:00",90,3,103,"BMH 2378"
189,"PSYCH 138","Skill Development Workshop","Practical demonstrations of key concepts","2024-08-06 06:05:00",90,6,102,"RCH 3920"
190,"SYDE 360","Discussion on Current Topics","Planning and organizing study schedules","2024-08-05 16:05:00",90,3,103,"BMH 4094"
191,"SPAN 250","Mock Exam Session","Practical demonstrations of key concepts","2024-08-13 18:25:00",90,8,102,"EV1 3285"
192,"PHARM 297","Quiz Preparation","Support for academic writing tasks","2024-08-02 01:55:00",30,6,103,"BMH 2074"
193,"NE 433","Career Advice Session","Professional development tips","2024-08-14 18:35:00",60,10,103,"E1 2678"
194,"ECE 110","Focused Study","Exploring new topics in-depth","2024-07-28 23:10:00",30,3,102,"E2 1949"
195,"NE 238","Study Group Session","Assistance with writing lab reports","2024-07-02 04:45:00",30,3,102,"RCH 3598"
196,"MUSIC 271","Subject Review","Sharing of useful online resources","2024-08-01 13:10:00",60,5,102,"PAS 2494"
197,"HIST 404","Seminar Follow-Up","Interactive workshop on a key topic","2024-07-29 01:50:00",30,6,103,"EIT 3649"
198,"AFM 197","Interactive Quiz","Collaborative learning and peer support","2024-08-05 03:55:00",120,6,103,"HH 2971"
199,"STAT 272","Topic Mastery Session","Interactive learning activities","2024-07-10 11:00:00",90,6,102,"EV3 2650"
200,"KIN 404","Knowledge Enhancement","Enhancing knowledge through group discussion","2024-07-30 12:35:00",90,4,103,"BMH 1534"
201,"LS 305","Finals Preparation","Hands-on practical session","2024-08-03 14:20:00",90,9,102,"RCH 1216"
202,"SUSM 319","Focused Review Session","Support for academic writing tasks","2024-07-10 06:55:00",120,8,103,"E5 3435"
203,"REC 304","Resource Sharing","Clarifying difficult concepts","2024-07-22 07:25:00",30,6,103,"DC 4411"
204,"SUSM 339","Problem-Solving Session","Open forum for discussing ideas","2024-07-20 18:45:00",60,5,103,"RCH 3950"
205,"REC 208","Topic Deep Dive","Open group discussion on course material","2024-07-03 19:50:00",120,10,102,"STC 1810"
206,"SUSM 262","Test Preparation","Clarifying difficult concepts","2024-07-19 13:15:00",90,5,102,"E1 3078"
207,"PHYS 293","Test Preparation","Open forum for discussing ideas","2024-08-14 05:35:00",30,5,103,"HH 3093"
208,"SE 201","Lab Report Assistance","Providing academic support and guidance","2024-07-15 17:35:00",120,10,103,"EV2 3783"
209,"REC 285","Case Study Discussion","Talking about recent developments in the subject","2024-07-24 02:05:00",30,3,103,"STC 2394"
210,"REC 396","Concept Discussion","Guidance on research methodology","2024-08-04 16:40:00",30,3,102,"EV2 3207"
211,"SPAN 340","Career Development Session","Sharing of useful online resources","2024-08-12 22:55:00",90,2,103,"E1 3253"
212,"STAT 204","Focused Study","Consultation on thesis structure and content","2024-07-21 19:55:00",30,8,103,"E2 4348"
213,"REC 306","Content Recap","Practical demonstrations of key concepts","2024-08-05 03:40:00",120,8,103,"E6 3023"
214,"SE 339","Interactive Learning","Providing academic support and guidance","2024-08-02 06:15:00",30,5,102,"EV3 2568"
215,"GS 320","Finals Preparation","Assistance with writing lab reports","2024-07-22 05:05:00",120,6,102,"EV1 2456"
216,"PSYCH 297","Practical Demonstration","Overview of important topics","2024-07-18 01:00:00",30,10,103,"E6 2842"
217,"SUSM 264","Discussion Forum","Planning and organizing study schedules","2024-07-05 20:40:00",90,3,103,"AL 1282"
218,"REC 360","Knowledge Sharing","Focused study on specific topics","2024-08-15 01:55:00",60,7,102,"E7 2103"
219,"SYDE 102","Case Study Discussion","Solving practice problems together","2024-07-19 22:15:00",30,5,103,"SLC 3219"
220,"BME 417","Research Guidance","Enhancing knowledge through group discussion","2024-07-27 13:00:00",120,3,103,"MC 1556"
